Input File: 00STD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 200.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]          P[deg]     
  1.000000e+03  -8.130325e+01 
  1.023411e+03  -8.118364e+01 
  1.047371e+03  -8.106340e+01 
  1.071891e+03  -8.095411e+01 
  1.096986e+03  -8.084336e+01 
  1.122668e+03  -8.072583e+01 
  1.148951e+03  -8.060589e+01 
  1.175850e+03  -8.048530e+01 
  1.203378e+03  -8.036918e+01 
  1.231551e+03  -8.028641e+01 
  1.260383e+03  -8.012881e+01 
  1.289890e+03  -7.997557e+01 
  1.320088e+03  -7.985107e+01 
  1.350994e+03  -7.973115e+01 
  1.382622e+03  -7.959519e+01 
  1.414991e+03  -7.945827e+01 
  1.448118e+03  -7.931989e+01 
  1.482021e+03  -7.918031e+01 
  1.516717e+03  -7.903863e+01 
  1.552225e+03  -7.890433e+01 
  1.588565e+03  -7.875548e+01 
  1.625756e+03  -7.861250e+01 
  1.663817e+03  -7.846941e+01 
  1.702769e+03  -7.833078e+01 
  1.742633e+03  -7.817637e+01 
  1.783431e+03  -7.803796e+01 
  1.825183e+03  -7.788630e+01 
  1.867914e+03  -7.774096e+01 
  1.911644e+03  -7.759796e+01 
  1.956398e+03  -7.745057e+01 
  2.002200e+03  -7.731730e+01 
  2.049075e+03  -7.716132e+01 
  2.097046e+03  -7.700674e+01 
  2.146141e+03  -7.689085e+01 
  2.196385e+03  -7.673893e+01 
  2.247806e+03  -7.660622e+01 
  2.300430e+03  -7.645821e+01 
  2.354286e+03  -7.631060e+01 
  2.409404e+03  -7.619416e+01 
  2.465811e+03  -7.604028e+01 
  2.523539e+03  -7.590411e+01 
  2.582619e+03  -7.576134e+01 
  2.643082e+03  -7.563688e+01 
  2.704960e+03  -7.551096e+01 
  2.768287e+03  -7.539002e+01 
  2.833096e+03  -7.526234e+01 
  2.899423e+03  -7.513989e+01 
  2.967302e+03  -7.502077e+01 
  3.036771e+03  -7.489905e+01 
  3.107866e+03  -7.478993e+01 
  3.180626e+03  -7.466676e+01 
  3.255089e+03  -7.455802e+01 
  3.331295e+03  -7.446114e+01 
  3.409285e+03  -7.433379e+01 
  3.489101e+03  -7.425333e+01 
  3.570786e+03  -7.415200e+01 
  3.654383e+03  -7.404689e+01 
  3.739937e+03  -7.395110e+01 
  3.827494e+03  -7.386381e+01 
  3.917102e+03  -7.378318e+01 
  4.008806e+03  -7.369870e+01 
  4.102658e+03  -7.360905e+01 
  4.198707e+03  -7.353427e+01 
  4.297005e+03  -7.345225e+01 
  4.397604e+03  -7.338798e+01 
  4.500558e+03  -7.330883e+01 
  4.605922e+03  -7.325826e+01 
  4.713753e+03  -7.320353e+01 
  4.824109e+03  -7.313962e+01 
  4.937048e+03  -7.308892e+01 
  5.052631e+03  -7.303590e+01 
  5.170920e+03  -7.299285e+01 
  5.291979e+03  -7.293475e+01 
  5.415872e+03  -7.288908e+01 
  5.542665e+03  -7.285501e+01 
  5.672426e+03  -7.282864e+01 
  5.805226e+03  -7.280865e+01 
  5.941134e+03  -7.277113e+01 
  6.080224e+03  -7.276039e+01 
  6.222571e+03  -7.274960e+01 
  6.368250e+03  -7.274413e+01 
  6.517340e+03  -7.272440e+01 
  6.669919e+03  -7.274158e+01 
  6.826072e+03  -7.274436e+01 
  6.985880e+03  -7.275166e+01 
  7.149429e+03  -7.278294e+01 
  7.316807e+03  -7.279591e+01 
  7.488104e+03  -7.283096e+01 
  7.663411e+03  -7.285758e+01 
  7.842822e+03  -7.291079e+01 
  8.026434e+03  -7.296818e+01 
  8.214344e+03  -7.302586e+01 
  8.406653e+03  -7.308150e+01 
  8.603465e+03  -7.317730e+01 
  8.804884e+03  -7.323632e+01 
  9.011019e+03  -7.333758e+01 
  9.221979e+03  -7.343739e+01 
  9.437878e+03  -7.354295e+01 
  9.658832e+03  -7.365903e+01 
  9.884959e+03  -7.379881e+01 
  1.011638e+04  -7.392610e+01 
  1.035322e+04  -7.407268e+01 
