Input File: 00STM.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 200.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]         Mag[dB]     
  1.000000e+03   9.895413e+00 
  1.023411e+03   9.712190e+00 
  1.047371e+03   9.521050e+00 
  1.071891e+03   9.331992e+00 
  1.096986e+03   9.148113e+00 
  1.122668e+03   8.957713e+00 
  1.148951e+03   8.773474e+00 
  1.175850e+03   8.588099e+00 
  1.203378e+03   8.401577e+00 
  1.231551e+03   8.227504e+00 
  1.260383e+03   8.033141e+00 
  1.289890e+03   7.848197e+00 
  1.320088e+03   7.666131e+00 
  1.350994e+03   7.483597e+00 
  1.382622e+03   7.301610e+00 
  1.414991e+03   7.120612e+00 
  1.448118e+03   6.939076e+00 
  1.482021e+03   6.760212e+00 
  1.516717e+03   6.579115e+00 
  1.552225e+03   6.402122e+00 
  1.588565e+03   6.221039e+00 
  1.625756e+03   6.044719e+00 
  1.663817e+03   5.869806e+00 
  1.702769e+03   5.693439e+00 
  1.742633e+03   5.517626e+00 
  1.783431e+03   5.345095e+00 
  1.825183e+03   5.170312e+00 
  1.867914e+03   4.996898e+00 
  1.911644e+03   4.824105e+00 
  1.956398e+03   4.652635e+00 
  2.002200e+03   4.480075e+00 
  2.049075e+03   4.312197e+00 
  2.097046e+03   4.140120e+00 
  2.146141e+03   3.970743e+00 
  2.196385e+03   3.803902e+00 
  2.247806e+03   3.633013e+00 
  2.300430e+03   3.466817e+00 
  2.354286e+03   3.302355e+00 
  2.409404e+03   3.132648e+00 
  2.465811e+03   2.969579e+00 
  2.523539e+03   2.805851e+00 
  2.582619e+03   2.642518e+00 
  2.643082e+03   2.479993e+00 
  2.704960e+03   2.317160e+00 
  2.768287e+03   2.153653e+00 
  2.833096e+03   1.991953e+00 
  2.899423e+03   1.830964e+00 
  2.967302e+03   1.672178e+00 
  3.036771e+03   1.514761e+00 
  3.107866e+03   1.353447e+00 
  3.180626e+03   1.194435e+00 
  3.255089e+03   1.036641e+00 
  3.331295e+03   8.777868e-01 
  3.409285e+03   7.203482e-01 
  3.489101e+03   5.645773e-01 
  3.570786e+03   4.074379e-01 
  3.654383e+03   2.515766e-01 
  3.739937e+03   9.594411e-02 
  3.827494e+03  -5.683387e-02 
  3.917102e+03  -2.121632e-01 
  4.008806e+03  -3.630692e-01 
  4.102658e+03  -5.171605e-01 
  4.198707e+03  -6.712384e-01 
  4.297005e+03  -8.162766e-01 
  4.397604e+03  -9.731014e-01 
  4.500558e+03  -1.124956e+00 
  4.605922e+03  -1.275776e+00 
  4.713753e+03  -1.425827e+00 
  4.824109e+03  -1.575360e+00 
  4.937048e+03  -1.725098e+00 
  5.052631e+03  -1.874253e+00 
  5.170920e+03  -2.023204e+00 
  5.291979e+03  -2.173893e+00 
  5.415872e+03  -2.317720e+00 
  5.542665e+03  -2.465086e+00 
  5.672426e+03  -2.613280e+00 
  5.805226e+03  -2.758364e+00 
  5.941134e+03  -2.902418e+00 
  6.080224e+03  -3.048995e+00 
  6.222571e+03  -3.195298e+00 
  6.368250e+03  -3.337188e+00 
  6.517340e+03  -3.483205e+00 
  6.669919e+03  -3.624845e+00 
  6.826072e+03  -3.767389e+00 
  6.985880e+03  -3.910329e+00 
  7.149429e+03  -4.051018e+00 
  7.316807e+03  -4.194820e+00 
  7.488104e+03  -4.334188e+00 
  7.663411e+03  -4.475987e+00 
  7.842822e+03  -4.615320e+00 
  8.026434e+03  -4.754802e+00 
  8.214344e+03  -4.893991e+00 
  8.406653e+03  -5.033071e+00 
  8.603465e+03  -5.173712e+00 
  8.804884e+03  -5.312108e+00 
  9.011019e+03  -5.449507e+00 
  9.221979e+03  -5.586470e+00 
  9.437878e+03  -5.726680e+00 
  9.658832e+03  -5.862511e+00 
  9.884959e+03  -5.998145e+00 
  1.011638e+04  -6.137775e+00 
  1.035322e+04  -6.274617e+00 
  1.059560e+04  -6.412615e+00 
  1.084366e+04  -6.551029e+00 
  1.109753e+04  -6.688130e+00 
