Input File: 00TOLD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 10 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:   1.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]          P[deg]     
  1.000000e+04   3.277121e+01 
  1.011638e+04   3.376891e+01 
  1.023411e+04   3.726559e+01 
  1.035322e+04   3.667350e+01 
  1.047371e+04   3.473677e+01 
  1.059560e+04   3.639415e+01 
  1.071891e+04   3.696734e+01 
  1.084366e+04   3.884661e+01 
  1.096986e+04   3.770338e+01 
  1.109753e+04   3.791325e+01 
  1.122668e+04   3.693486e+01 
  1.135733e+04   3.810701e+01 
  1.148951e+04   3.850822e+01 
  1.162322e+04   3.883746e+01 
  1.175850e+04   4.162511e+01 
  1.189534e+04   3.613429e+01 
  1.203378e+04   3.983262e+01 
  1.217383e+04   4.133325e+01 
  1.231551e+04   3.973530e+01 
  1.245883e+04   3.933622e+01 
  1.260383e+04   4.045845e+01 
  1.275051e+04   4.067968e+01 
  1.289890e+04   4.101419e+01 
  1.304902e+04   4.052048e+01 
  1.320088e+04   4.183924e+01 
  1.335452e+04   4.243015e+01 
  1.350994e+04   4.190736e+01 
  1.366716e+04   4.323306e+01 
  1.382622e+04   4.169025e+01 
  1.398713e+04   4.145884e+01 
  1.414991e+04   4.368273e+01 
  1.431459e+04   4.241893e+01 
  1.448118e+04   4.212035e+01 
  1.464971e+04   4.323847e+01 
  1.482021e+04   4.414029e+01 
  1.499268e+04   4.401408e+01 
  1.516717e+04   4.466014e+01 
  1.534368e+04   4.469132e+01 
  1.552225e+04   4.454929e+01 
  1.570290e+04   4.387131e+01 
  1.588565e+04   4.467811e+01 
  1.607053e+04   4.588602e+01 
  1.625756e+04   4.641050e+01 
  1.644676e+04   4.725190e+01 
  1.663817e+04   4.550205e+01 
  1.683180e+04   4.594958e+01 
  1.702769e+04   4.638089e+01 
  1.722586e+04   4.597578e+01 
  1.742633e+04   4.654294e+01 
  1.762914e+04   4.579621e+01 
  1.783431e+04   4.685479e+01 
  1.804186e+04   4.728187e+01 
  1.825183e+04   4.751841e+01 
  1.846425e+04   4.773581e+01 
  1.867914e+04   4.788733e+01 
  1.889652e+04   4.747334e+01 
  1.911644e+04   4.863541e+01 
  1.933892e+04   4.746100e+01 
  1.956398e+04   4.212787e+01 
  1.979167e+04   5.091251e+01 
  2.002200e+04   4.571003e+01 
  2.025502e+04   4.696615e+01 
  2.049075e+04   4.883228e+01 
  2.072922e+04   4.718877e+01 
  2.097046e+04   4.876956e+01 
  2.121452e+04   4.827961e+01 
  2.146141e+04   4.815506e+01 
  2.171118e+04   4.709498e+01 
  2.196385e+04   4.722525e+01 
  2.221947e+04   4.593373e+01 
  2.247806e+04   4.725512e+01 
  2.273966e+04   4.743764e+01 
  2.300430e+04   5.148782e+01 
  2.327203e+04   5.062923e+01 
  2.354286e+04   4.870641e+01 
  2.381686e+04   4.955641e+01 
  2.409404e+04   4.900036e+01 
  2.437444e+04   4.928997e+01 
  2.465811e+04   4.895533e+01 
  2.494508e+04   4.787123e+01 
  2.523539e+04   4.790039e+01 
  2.552908e+04   4.868036e+01 
  2.582619e+04   4.885930e+01 
  2.612675e+04   4.808653e+01 
  2.643081e+04   4.828947e+01 
  2.673842e+04   4.854631e+01 
  2.704960e+04   4.889291e+01 
  2.736440e+04   4.851372e+01 
  2.768287e+04   4.797514e+01 
  2.800504e+04   4.851082e+01 
  2.833096e+04   4.780180e+01 
  2.866068e+04   4.758616e+01 
  2.899423e+04   4.639888e+01 
  2.933166e+04   4.690634e+01 
  2.967302e+04   4.740184e+01 
  3.001836e+04   4.648281e+01 
  3.036771e+04   4.652744e+01 
  3.072113e+04   4.572630e+01 
  3.107866e+04   4.772242e+01 
  3.144036e+04   4.548988e+01 
  3.180626e+04   4.603850e+01 
  3.217642e+04   4.504832e+01 
  3.255089e+04   4.510236e+01 
  3.292971e+04   4.503959e+01 
  3.331295e+04   4.468870e+01 
  3.370064e+04   4.416390e+01 
  3.409285e+04   4.398058e+01 
  3.448962e+04   4.388124e+01 
