Input File: 00TOLM.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 100.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]         Mag[dB]     
  1.000000e+03   4.935019e+01 
  1.023411e+03   5.482639e+01 
  1.047371e+03   5.024796e+01 
  1.071891e+03   5.220600e+01 
  1.096986e+03   5.019040e+01 
  1.122668e+03   5.563196e+01 
  1.148951e+03   5.388770e+01 
  1.175850e+03   4.883743e+01 
  1.203378e+03   4.994635e+01 
  1.231551e+03   4.884131e+01 
  1.260383e+03   4.879844e+01 
  1.289890e+03   4.813068e+01 
  1.320088e+03   4.773149e+01 
  1.350994e+03   4.690746e+01 
  1.382622e+03   4.709304e+01 
  1.414991e+03   4.646218e+01 
  1.448118e+03   4.501796e+01 
  1.482021e+03   4.583320e+01 
  1.516717e+03   4.533207e+01 
  1.552225e+03   4.500785e+01 
  1.588565e+03   4.440219e+01 
  1.625756e+03   4.085452e+01 
  1.663817e+03   4.767697e+01 
  1.702769e+03   4.285125e+01 
  1.742633e+03   4.225695e+01 
  1.783431e+03   4.077402e+01 
  1.825183e+03   4.053395e+01 
  1.867914e+03   4.079139e+01 
  1.911644e+03   4.119481e+01 
  1.956398e+03   4.002822e+01 
  2.002200e+03   4.032234e+01 
  2.049075e+03   3.998354e+01 
  2.097046e+03   3.936570e+01 
  2.146141e+03   3.904483e+01 
  2.196385e+03   3.866227e+01 
  2.247806e+03   3.801637e+01 
  2.300430e+03   3.768476e+01 
  2.354286e+03   3.720190e+01 
  2.409404e+03   3.676834e+01 
  2.465811e+03   3.651904e+01 
  2.523539e+03   3.607359e+01 
  2.582619e+03   3.556335e+01 
  2.643082e+03   3.520248e+01 
  2.704960e+03   3.472744e+01 
  2.768287e+03   3.427635e+01 
  2.833096e+03   3.394154e+01 
  2.899423e+03   3.346497e+01 
  2.967302e+03   3.313247e+01 
  3.036771e+03   3.265614e+01 
  3.107866e+03   3.223190e+01 
  3.180626e+03   3.188712e+01 
  3.255089e+03   3.160187e+01 
  3.331295e+03   3.107696e+01 
  3.409285e+03   3.068648e+01 
  3.489101e+03   3.040672e+01 
  3.570786e+03   2.973371e+01 
  3.654383e+03   2.948402e+01 
  3.739937e+03   2.914961e+01 
  3.827494e+03   2.877963e+01 
  3.917102e+03   2.822538e+01 
  4.008806e+03   2.767456e+01 
  4.102658e+03   2.746268e+01 
  4.198707e+03   2.709009e+01 
  4.297005e+03   2.662770e+01 
  4.397604e+03   2.619639e+01 
  4.500558e+03   2.581362e+01 
  4.605922e+03   2.546479e+01 
  4.713753e+03   2.508725e+01 
  4.824109e+03   2.472160e+01 
  4.937048e+03   2.427250e+01 
  5.052631e+03   2.381581e+01 
  5.170920e+03   2.345567e+01 
  5.291979e+03   2.317837e+01 
  5.415872e+03   2.282209e+01 
  5.542665e+03   2.246286e+01 
  5.672426e+03   2.202213e+01 
  5.805226e+03   2.164128e+01 
  5.941134e+03   2.131550e+01 
  6.080224e+03   2.089893e+01 
  6.222571e+03   2.059312e+01 
  6.368250e+03   2.018406e+01 
  6.517340e+03   1.978610e+01 
  6.669919e+03   1.940584e+01 
  6.826072e+03   1.906478e+01 
  6.985880e+03   1.872664e+01 
  7.149429e+03   1.837943e+01 
  7.316807e+03   1.803066e+01 
  7.488104e+03   1.767650e+01 
  7.663411e+03   1.733501e+01 
  7.842822e+03   1.702535e+01 
  8.026434e+03   1.671303e+01 
  8.214344e+03   1.638665e+01 
  8.406653e+03   1.607631e+01 
  8.603465e+03   1.569618e+01 
  8.804884e+03   1.539543e+01 
  9.011019e+03   1.505528e+01 
  9.221979e+03   1.474726e+01 
  9.437878e+03   1.437498e+01 
  9.658832e+03   1.403413e+01 
  9.884959e+03   1.374690e+01 
  1.011638e+04   1.344602e+01 
  1.035322e+04   1.318381e+01 
  1.059560e+04   1.286892e+01 
  1.084366e+04   1.253539e+01 
  1.109753e+04   1.219269e+01 
  1.135733e+04   1.192854e+01 
  1.162322e+04   1.163334e+01 
  1.189534e+04   1.134060e+01 
