Input File: 00TOLMO.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  50.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.000000e+03   3.298969e+01 
  1.023411e+03   1.965906e+01 
  1.047371e+03   2.255984e+01 
  1.071891e+03   1.738978e+01 
  1.096986e+03   2.275550e+01 
  1.122668e+03   9.274352e+00 
  1.148951e+03   3.524783e+01 
  1.175850e+03   2.605283e+01 
  1.203378e+03   2.743058e+01 
  1.231551e+03   2.940819e+01 
  1.260383e+03   2.447021e+01 
  1.289890e+03   3.348399e+01 
  1.320088e+03   2.178312e+01 
  1.350994e+03   2.777304e+01 
  1.382622e+03   2.053592e+01 
  1.414991e+03   3.245411e+01 
  1.448118e+03   2.298483e+01 
  1.482021e+03   2.889550e+01 
  1.516717e+03   2.134439e+01 
  1.552225e+03   2.186870e+01 
  1.588565e+03   2.013938e+01 
  1.625756e+03   2.400319e+01 
  1.663817e+03   2.262413e+01 
  1.702769e+03   2.418594e+01 
  1.742633e+03   2.682620e+01 
  1.783431e+03   1.958196e+01 
  1.825183e+03   1.935299e+01 
  1.867914e+03   2.574791e+01 
  1.911644e+03   2.864425e+01 
  1.956398e+03   2.148353e+01 
  2.002200e+03   3.248201e+01 
  2.049075e+03   2.362914e+01 
  2.097046e+03   3.349005e+01 
  2.146141e+03   2.709248e+01 
  2.196385e+03   2.681021e+01 
  2.247806e+03   2.388550e+01 
  2.300430e+03   2.358646e+01 
  2.354286e+03   2.411485e+01 
  2.409404e+03   2.412951e+01 
  2.465811e+03   2.158749e+01 
  2.523539e+03   2.259182e+01 
  2.582619e+03   2.546475e+01 
  2.643082e+03   2.044868e+01 
  2.704960e+03   2.123130e+01 
  2.768287e+03   2.320625e+01 
  2.833096e+03   2.104096e+01 
  2.899423e+03   1.919307e+01 
  2.967302e+03   2.140255e+01 
  3.036771e+03   2.211965e+01 
  3.107866e+03   2.150429e+01 
  3.180626e+03   1.873902e+01 
  3.255089e+03   2.115764e+01 
  3.331295e+03   2.074128e+01 
  3.409285e+03   1.893053e+01 
  3.489101e+03   1.869325e+01 
  3.570786e+03   2.117606e+01 
  3.654383e+03   1.908505e+01 
  3.739937e+03   2.109628e+01 
  3.827494e+03   1.794213e+01 
  3.917102e+03   1.814341e+01 
  4.008806e+03   1.887548e+01 
  4.102658e+03   1.838272e+01 
  4.198707e+03   1.836673e+01 
  4.297005e+03   1.858281e+01 
  4.397604e+03   1.860221e+01 
  4.500558e+03   1.706551e+01 
  4.605922e+03   1.673205e+01 
  4.713753e+03   1.825851e+01 
  4.824109e+03   1.639641e+01 
  4.937048e+03   1.683537e+01 
  5.052631e+03   1.711240e+01 
  5.170920e+03   1.625915e+01 
  5.291979e+03   1.699564e+01 
  5.415872e+03   1.612102e+01 
  5.542665e+03   1.618894e+01 
  5.672426e+03   1.562253e+01 
  5.805226e+03   1.508762e+01 
  5.941134e+03   1.525471e+01 
  6.080224e+03   1.585443e+01 
  6.222571e+03   1.534125e+01 
  6.368250e+03   1.499165e+01 
  6.517340e+03   1.485280e+01 
  6.669919e+03   1.399272e+01 
  6.826072e+03   1.456235e+01 
  6.985880e+03   1.416872e+01 
  7.149429e+03   1.366646e+01 
  7.316807e+03   1.388066e+01 
  7.488104e+03   1.342357e+01 
  7.663411e+03   1.391539e+01 
  7.842822e+03   1.328939e+01 
  8.026434e+03   1.312921e+01 
  8.214344e+03   1.299031e+01 
  8.406653e+03   1.227565e+01 
  8.603465e+03   1.219539e+01 
  8.804884e+03   1.196651e+01 
  9.011019e+03   1.204522e+01 
  9.221979e+03   1.195980e+01 
  9.437878e+03   1.153182e+01 
  9.658832e+03   1.123293e+01 
  9.884959e+03   1.138968e+01 
  1.011638e+04   1.109301e+01 
  1.035322e+04   1.103916e+01 
  1.059560e+04   1.045781e+01 
  1.084366e+04   1.051817e+01 
  1.109753e+04   9.930637e+00 
  1.135733e+04   1.023697e+01 
  1.162322e+04   9.636049e+00 
  1.189534e+04   9.533149e+00 
