Input File: 02M2MD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 600.0 mV
Source Ramping: Off
Source Offset:  12.1 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]          P[deg]     
  1.000000e+03   1.698056e+02 
  1.023411e+03   1.729238e+02 
  1.047371e+03   1.715980e+02 
  1.071891e+03   1.702961e+02 
  1.096986e+03   1.711380e+02 
  1.122668e+03   1.660962e+02 
  1.148951e+03   1.729184e+02 
  1.175850e+03   1.758348e+02 
  1.203378e+03   1.701981e+02 
  1.231551e+03   1.763057e+02 
  1.260383e+03   1.791125e+02 
  1.289890e+03   1.634691e+02 
  1.320088e+03   1.504012e+02 
  1.350994e+03   1.799885e+02 
  1.382622e+03  -1.679418e+02 
  1.414991e+03   1.709679e+02 
  1.448118e+03   1.755460e+02 
  1.482021e+03   1.678253e+02 
  1.516717e+03   1.668478e+02 
  1.552225e+03   1.720299e+02 
  1.588565e+03   1.695534e+02 
  1.625756e+03   1.716198e+02 
  1.663817e+03   1.675200e+02 
  1.702769e+03   1.696586e+02 
  1.742633e+03   1.688159e+02 
  1.783431e+03   1.672834e+02 
  1.825183e+03   1.672952e+02 
  1.867914e+03   1.662395e+02 
  1.911644e+03   1.672683e+02 
  1.956398e+03   1.669686e+02 
  2.002200e+03   1.655484e+02 
  2.049075e+03   1.664447e+02 
  2.097046e+03   1.666571e+02 
  2.146141e+03   1.655863e+02 
  2.196385e+03   1.658569e+02 
  2.247806e+03   1.653297e+02 
  2.300430e+03   1.643406e+02 
  2.354286e+03   1.638816e+02 
  2.409404e+03   1.650088e+02 
  2.465811e+03   1.654431e+02 
  2.523539e+03   1.641400e+02 
  2.582619e+03   1.642983e+02 
  2.643082e+03   1.656852e+02 
  2.704960e+03   1.641800e+02 
  2.768287e+03   1.646839e+02 
  2.833096e+03   1.646487e+02 
  2.899423e+03   1.640564e+02 
  2.967302e+03   1.628772e+02 
  3.036771e+03   1.644093e+02 
  3.107866e+03   1.640706e+02 
  3.180626e+03   1.632470e+02 
  3.255089e+03   1.636583e+02 
  3.331295e+03   1.646225e+02 
  3.409285e+03   1.637971e+02 
  3.489101e+03   1.624873e+02 
  3.570786e+03   1.627387e+02 
  3.654383e+03   1.618804e+02 
  3.739937e+03   1.631461e+02 
  3.827494e+03   1.626654e+02 
  3.917102e+03   1.620371e+02 
  4.008806e+03   1.621229e+02 
  4.102658e+03   1.606893e+02 
  4.198707e+03   1.609767e+02 
  4.297005e+03   1.618156e+02 
  4.397604e+03   1.616980e+02 
  4.500558e+03   1.600125e+02 
  4.605922e+03   1.603268e+02 
  4.713753e+03   1.600640e+02 
  4.824109e+03   1.596517e+02 
  4.937048e+03   1.591440e+02 
  5.052631e+03   1.594046e+02 
  5.170920e+03   1.593433e+02 
  5.291979e+03   1.587065e+02 
  5.415872e+03   1.589687e+02 
  5.542665e+03   1.580942e+02 
  5.672426e+03   1.578519e+02 
  5.805226e+03   1.579614e+02 
  5.941134e+03   1.574339e+02 
  6.080224e+03   1.569268e+02 
  6.222571e+03   1.569040e+02 
  6.368250e+03   1.565325e+02 
  6.517340e+03   1.561982e+02 
  6.669919e+03   1.555526e+02 
  6.826072e+03   1.549354e+02 
  6.985880e+03   1.545319e+02 
  7.149429e+03   1.539688e+02 
  7.316807e+03   1.542142e+02 
  7.488104e+03   1.530361e+02 
  7.663411e+03   1.531841e+02 
  7.842822e+03   1.531036e+02 
  8.026434e+03   1.520314e+02 
  8.214344e+03   1.521489e+02 
  8.406653e+03   1.512472e+02 
  8.603465e+03   1.513486e+02 
  8.804884e+03   1.508047e+02 
  9.011019e+03   1.499918e+02 
  9.221979e+03   1.497328e+02 
  9.437878e+03   1.497153e+02 
  9.658832e+03   1.490771e+02 
  9.884959e+03   1.486541e+02 
  1.011638e+04   1.483333e+02 
  1.035322e+04   1.479175e+02 
  1.059560e+04   1.476346e+02 
  1.084366e+04   1.468679e+02 
  1.109753e+04   1.465121e+02 
  1.135733e+04   1.460055e+02 
  1.162322e+04   1.453026e+02 
  1.189534e+04   1.449068e+02 
