Input File: 02M2MM.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 100 Hz
Stop  Freq.: 10 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 100.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.000000e+02  -1.546821e+01 
  1.047616e+02  -1.538752e+01 
  1.097499e+02  -1.543918e+01 
  1.149757e+02  -1.545816e+01 
  1.204504e+02  -1.534472e+01 
  1.261857e+02  -1.546447e+01 
  1.321941e+02  -1.530336e+01 
  1.384886e+02  -1.547014e+01 
  1.450829e+02  -1.537558e+01 
  1.519911e+02  -1.545995e+01 
  1.592283e+02  -1.541614e+01 
  1.668101e+02  -1.535968e+01 
  1.747528e+02  -1.552778e+01 
  1.830738e+02  -1.525598e+01 
  1.917910e+02  -1.546024e+01 
  2.009233e+02  -1.551985e+01 
  2.104904e+02  -1.531166e+01 
  2.205131e+02  -1.553904e+01 
  2.310130e+02  -1.548357e+01 
  2.420128e+02  -1.559997e+01 
  2.535365e+02  -1.534692e+01 
  2.656088e+02  -1.537401e+01 
  2.782560e+02  -1.529109e+01 
  2.915053e+02  -1.545516e+01 
  3.053856e+02  -1.537896e+01 
  3.199267e+02  -1.539545e+01 
  3.351603e+02  -1.532764e+01 
  3.511192e+02  -1.532379e+01 
  3.678380e+02  -1.534452e+01 
  3.853528e+02  -1.560440e+01 
  4.037017e+02  -1.538281e+01 
  4.229243e+02  -1.540294e+01 
  4.430621e+02  -1.540145e+01 
  4.641589e+02  -1.541092e+01 
  4.862602e+02  -1.551250e+01 
  5.094138e+02  -1.540900e+01 
  5.336699e+02  -1.527476e+01 
  5.590810e+02  -1.527521e+01 
  5.857021e+02  -1.528410e+01 
  6.135907e+02  -1.529700e+01 
  6.428073e+02  -1.516809e+01 
  6.734150e+02  -1.538402e+01 
  7.054802e+02  -1.557493e+01 
  7.390722e+02  -1.540596e+01 
  7.742637e+02  -1.546949e+01 
  8.111309e+02  -1.552429e+01 
  8.497534e+02  -1.544107e+01 
  8.902151e+02  -1.532821e+01 
  9.326033e+02  -1.534175e+01 
  9.770099e+02  -1.542174e+01 
  1.023531e+03  -1.531017e+01 
  1.072267e+03  -1.543960e+01 
  1.123324e+03  -1.540856e+01 
  1.176812e+03  -1.542452e+01 
  1.232847e+03  -1.549838e+01 
  1.291550e+03  -1.541719e+01 
  1.353048e+03  -1.551260e+01 
  1.417474e+03  -1.558769e+01 
  1.484968e+03  -1.542901e+01 
  1.555676e+03  -1.536819e+01 
  1.629751e+03  -1.550055e+01 
  1.707353e+03  -1.550136e+01 
  1.788650e+03  -1.540372e+01 
  1.873817e+03  -1.535488e+01 
  1.963041e+03  -1.536456e+01 
  2.056512e+03  -1.549601e+01 
  2.154435e+03  -1.547284e+01 
  2.257020e+03  -1.566024e+01 
  2.364490e+03  -1.543653e+01 
  2.477076e+03  -1.551424e+01 
  2.595024e+03  -1.546707e+01 
  2.718588e+03  -1.546755e+01 
  2.848036e+03  -1.548833e+01 
  2.983647e+03  -1.562522e+01 
  3.125716e+03  -1.548304e+01 
  3.274549e+03  -1.547814e+01 
  3.430469e+03  -1.549850e+01 
  3.593814e+03  -1.550177e+01 
  3.764936e+03  -1.551610e+01 
  3.944206e+03  -1.554023e+01 
  4.132012e+03  -1.548903e+01 
  4.328761e+03  -1.544384e+01 
  4.534878e+03  -1.541977e+01 
  4.750810e+03  -1.540788e+01 
  4.977023e+03  -1.557942e+01 
  5.214008e+03  -1.545704e+01 
  5.462277e+03  -1.539973e+01 
  5.722368e+03  -1.542747e+01 
  5.994842e+03  -1.545428e+01 
  6.280292e+03  -1.541153e+01 
  6.579332e+03  -1.539342e+01 
  6.892612e+03  -1.542565e+01 
  7.220809e+03  -1.546502e+01 
  7.564633e+03  -1.545021e+01 
  7.924829e+03  -1.548513e+01 
  8.302176e+03  -1.541157e+01 
  8.697490e+03  -1.553686e+01 
  9.111628e+03  -1.540696e+01 
  9.545484e+03  -1.539840e+01 
  1.000000e+04  -1.550497e+01 
