Input File: 02TFD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 10 Hz
Sweep Type: Log
Auto Level: Off
Amplitude: 200.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]          P[deg]     
  1.000000e+01  -1.876158e+01 
  1.047371e+01  -1.650730e+01 
  1.096986e+01  -1.805378e+01 
  1.148951e+01  -1.526453e+01 
  1.203378e+01  -2.472372e+01 
  1.260383e+01  -2.591305e+01 
  1.320088e+01  -1.624774e+01 
  1.382622e+01  -2.985134e+01 
  1.448118e+01  -2.799411e+01 
  1.516717e+01  -2.038017e+01 
  1.588565e+01  -2.927362e+01 
  1.663817e+01  -2.581681e+01 
  1.742633e+01  -3.986280e+01 
  1.825183e+01  -2.744334e+01 
  1.911644e+01  -3.480275e+01 
  2.002200e+01  -3.071504e+01 
  2.097046e+01  -3.185508e+01 
  2.196385e+01  -3.326004e+01 
  2.300430e+01  -3.233781e+01 
  2.409404e+01  -3.636850e+01 
  2.523539e+01  -3.310522e+01 
  2.643081e+01  -3.455460e+01 
  2.768287e+01  -2.992062e+01 
  2.899423e+01  -4.152292e+01 
  3.036771e+01  -4.451677e+01 
  3.180626e+01  -5.498466e+01 
  3.331295e+01  -4.325444e+01 
  3.489101e+01  -4.909299e+01 
  3.654383e+01  -5.229240e+01 
  3.827494e+01  -4.492056e+01 
  4.008806e+01  -5.153178e+01 
  4.198707e+01  -5.684071e+01 
  4.397604e+01  -6.029224e+01 
  4.605922e+01  -5.546381e+01 
  4.824109e+01  -6.942552e+01 
  5.052631e+01  -6.497691e+01 
  5.291979e+01  -7.411447e+01 
  5.542664e+01  -5.251071e+01 
  5.805225e+01  -4.041343e+01 
  6.080224e+01  -5.393972e+00 
  6.368250e+01  -8.853733e+01 
  6.669920e+01  -6.477613e+01 
  6.985880e+01  -6.052277e+01 
  7.316807e+01  -7.661520e+01 
  7.663411e+01  -7.392999e+01 
  8.026434e+01  -6.447187e+01 
  8.406653e+01  -7.679198e+01 
  8.804884e+01  -8.328661e+01 
  9.221979e+01  -6.350947e+01 
  9.658833e+01  -7.973560e+01 
  1.011638e+02  -7.736891e+01 
  1.059560e+02  -5.699979e+01 
  1.109753e+02  -8.141847e+01 
  1.162322e+02  -6.640292e+01 
  1.217383e+02  -6.237735e+01 
  1.275051e+02  -7.825099e+01 
  1.335452e+02  -7.636140e+01 
  1.398713e+02  -7.269667e+01 
  1.464971e+02  -7.365755e+01 
  1.534368e+02  -7.210583e+01 
  1.607053e+02  -7.823483e+01 
  1.683180e+02  -8.359324e+01 
  1.762914e+02  -8.270062e+01 
  1.846425e+02  -8.399722e+01 
  1.933892e+02  -8.116429e+01 
  2.025502e+02  -8.211214e+01 
  2.121452e+02  -9.164464e+01 
  2.221947e+02  -8.258762e+01 
  2.327202e+02  -8.202666e+01 
  2.437444e+02  -8.530232e+01 
  2.552908e+02  -8.654478e+01 
  2.673842e+02  -9.230849e+01 
  2.800504e+02  -8.193079e+01 
  2.933166e+02  -9.920064e+01 
  3.072113e+02  -9.263384e+01 
  3.217642e+02  -8.157844e+01 
  3.370064e+02  -9.516020e+01 
  3.529707e+02  -8.343260e+01 
  3.696913e+02  -9.232886e+01 
  3.872039e+02  -1.022482e+02 
  4.055461e+02  -8.103581e+01 
  4.247571e+02  -8.600861e+01 
  4.448783e+02  -9.042268e+01 
  4.659526e+02  -8.088722e+01 
  4.880251e+02  -9.790603e+01 
  5.111433e+02  -8.653595e+01 
  5.353567e+02  -9.624016e+01 
  5.607170e+02  -8.515031e+01 
  5.872787e+02  -9.652224e+01 
  6.150986e+02  -9.949258e+01 
  6.442363e+02  -9.005415e+01 
  6.747544e+02  -9.263551e+01 
  7.067181e+02  -9.469919e+01 
  7.401960e+02  -8.969952e+01 
  7.752598e+02  -9.621342e+01 
  8.119845e+02  -8.889889e+01 
  8.504489e+02  -9.727030e+01 
  8.907355e+02  -9.829436e+01 
  9.329304e+02  -9.852033e+01 
  9.771241e+02  -9.050391e+01 
  1.023411e+03  -8.803918e+01 
  1.071891e+03  -1.078945e+02 
