Input File: 02TFM.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 1 kHz
Stop  Freq.: 100 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  50.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.000000e+03   2.361488e+01 
  1.047616e+03   2.822161e+01 
  1.097499e+03   2.727045e+01 
  1.149757e+03   2.104503e+01 
  1.204504e+03   2.077422e+01 
  1.261857e+03   1.325658e+01 
  1.321941e+03   1.436295e+01 
  1.384886e+03   1.788161e+01 
  1.450829e+03   1.542064e+01 
  1.519911e+03   1.037924e+01 
  1.592283e+03   1.079310e+01 
  1.668101e+03   2.150706e+01 
  1.747528e+03   1.482735e+01 
  1.830738e+03   8.731935e+00 
  1.917910e+03   2.035402e+01 
  2.009233e+03   1.871663e+01 
  2.104904e+03   1.753334e+01 
  2.205131e+03   1.812525e+01 
  2.310130e+03   2.266542e+01 
  2.420128e+03   1.001615e+01 
  2.535365e+03   1.265962e+01 
  2.656088e+03   8.279681e+00 
  2.782559e+03   9.393578e+00 
  2.915053e+03   1.221127e+01 
  3.053855e+03   3.122332e+00 
  3.199267e+03   1.456991e+01 
  3.351603e+03   1.665851e+01 
  3.511192e+03   1.212232e+01 
  3.678380e+03   1.415474e+01 
  3.853529e+03   4.733826e+00 
  4.037017e+03   1.792681e+01 
  4.229243e+03   8.871289e+00 
  4.430622e+03   9.719966e+00 
  4.641589e+03   7.482395e+00 
  4.862602e+03   9.279346e+00 
  5.094138e+03   1.145230e+01 
  5.336699e+03   8.189988e+00 
  5.590810e+03   5.523414e+00 
  5.857021e+03   5.340453e+00 
  6.135907e+03   8.230881e+00 
  6.428073e+03   4.647174e+00 
  6.734151e+03   4.012399e+00 
  7.054802e+03   3.827439e+00 
  7.390722e+03   5.945923e+00 
  7.742637e+03   3.483587e+00 
  8.111308e+03   3.384130e+00 
  8.497534e+03   8.655863e+00 
  8.902150e+03   2.099889e+00 
  9.326033e+03   2.345158e+00 
  9.770100e+03   1.209538e+00 
  1.023531e+04   2.157317e+00 
  1.072267e+04  -2.372559e+00 
  1.123324e+04   1.471128e+00 
  1.176812e+04   1.086378e+00 
  1.232847e+04   2.099994e+00 
  1.291550e+04   1.240339e+00 
  1.353048e+04   4.067453e-01 
  1.417474e+04   4.450856e-01 
  1.484968e+04  -1.430452e-01 
  1.555676e+04  -6.164338e-01 
  1.629751e+04  -2.936251e+00 
  1.707353e+04  -2.494533e+00 
  1.788650e+04  -3.722810e+00 
  1.873817e+04  -4.460860e+00 
  1.963041e+04  -5.192030e+00 
  2.056512e+04  -6.004359e+00 
  2.154435e+04  -6.937756e+00 
  2.257020e+04  -5.423131e+00 
  2.364489e+04  -4.685101e+00 
  2.477076e+04  -1.699851e+01 
  2.595024e+04  -6.816952e+00 
  2.718588e+04  -5.301632e+00 
  2.848036e+04  -6.869250e+00 
  2.983647e+04  -6.134086e+00 
  3.125716e+04   8.190981e-01 
  3.274549e+04  -1.455692e+01 
  3.430469e+04  -1.152426e+01 
  3.593814e+04  -1.187458e+01 
  3.764936e+04  -9.191144e+00 
  3.944206e+04  -8.259193e+00 
  4.132012e+04  -4.125205e+00 
  4.328761e+04  -9.793238e+00 
  4.534879e+04  -1.089962e+01 
  4.750810e+04   6.925563e-01 
  4.977023e+04  -1.314453e+01 
  5.214008e+04  -9.088493e+00 
  5.462277e+04  -1.328073e+01 
  5.722368e+04  -7.254583e-01 
  5.994843e+04  -2.480625e+01 
  6.280291e+04  -1.432472e+01 
  6.579332e+04  -1.179920e+01 
  6.892612e+04  -1.217842e+01 
  7.220809e+04  -1.449672e+00 
  7.564634e+04  -8.521441e+00 
  7.924829e+04  -1.325240e+01 
  8.302176e+04  -2.265240e+00 
  8.697490e+04  -6.362876e+00 
  9.111627e+04  -1.806780e+01 
  9.545484e+04  -1.002090e+01 
  1.000000e+05  -2.816328e+00 
