Input File: 02TFMH.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.000000e+03   3.040470e+01 
  1.023411e+03   3.035733e+01 
  1.047371e+03   2.937810e+01 
  1.071891e+03   2.967370e+01 
  1.096986e+03   2.967486e+01 
  1.122668e+03   2.907929e+01 
  1.148951e+03   2.958266e+01 
  1.175850e+03   2.846418e+01 
  1.203378e+03   2.860774e+01 
  1.231551e+03   2.840842e+01 
  1.260383e+03   2.832474e+01 
  1.289890e+03   2.803320e+01 
  1.320088e+03   2.778869e+01 
  1.350994e+03   2.800176e+01 
  1.382622e+03   2.783463e+01 
  1.414991e+03   2.759931e+01 
  1.448118e+03   2.734408e+01 
  1.482021e+03   2.689203e+01 
  1.516717e+03   2.713845e+01 
  1.552225e+03   2.678054e+01 
  1.588565e+03   2.620420e+01 
  1.625756e+03   2.636774e+01 
  1.663817e+03   2.605107e+01 
  1.702769e+03   2.535164e+01 
  1.742633e+03   2.589571e+01 
  1.783431e+03   2.487776e+01 
  1.825183e+03   2.558888e+01 
  1.867914e+03   2.502889e+01 
  1.911644e+03   2.445773e+01 
  1.956398e+03   2.458121e+01 
  2.002200e+03   2.420001e+01 
  2.049075e+03   2.431234e+01 
  2.097046e+03   2.417593e+01 
  2.146141e+03   2.417525e+01 
  2.196385e+03   2.364061e+01 
  2.247806e+03   2.344323e+01 
  2.300430e+03   2.306681e+01 
  2.354286e+03   2.339037e+01 
  2.409404e+03   2.314427e+01 
  2.465811e+03   2.248190e+01 
  2.523539e+03   2.258299e+01 
  2.582619e+03   2.216763e+01 
  2.643082e+03   2.225089e+01 
  2.704960e+03   2.215706e+01 
  2.768287e+03   2.120953e+01 
  2.833096e+03   2.164547e+01 
  2.899423e+03   2.140455e+01 
  2.967302e+03   2.085207e+01 
  3.036771e+03   2.073982e+01 
  3.107866e+03   2.035278e+01 
  3.180626e+03   2.035021e+01 
  3.255089e+03   2.012305e+01 
  3.331295e+03   1.995578e+01 
  3.409285e+03   1.979590e+01 
  3.489101e+03   2.084063e+01 
  3.570786e+03   1.959294e+01 
  3.654383e+03   1.902622e+01 
  3.739937e+03   1.897587e+01 
  3.827494e+03   1.932804e+01 
  3.917102e+03   1.852200e+01 
  4.008806e+03   1.859481e+01 
  4.102658e+03   1.816747e+01 
  4.198707e+03   1.786338e+01 
  4.297005e+03   1.752465e+01 
  4.397604e+03   1.777789e+01 
  4.500558e+03   1.742855e+01 
  4.605922e+03   1.726725e+01 
  4.713753e+03   1.735953e+01 
  4.824109e+03   1.695357e+01 
  4.937048e+03   1.680230e+01 
  5.052631e+03   1.656243e+01 
  5.170920e+03   1.646818e+01 
  5.291979e+03   1.603677e+01 
  5.415872e+03   1.607431e+01 
  5.542665e+03   1.575320e+01 
  5.672426e+03   1.573163e+01 
  5.805226e+03   1.541279e+01 
  5.941134e+03   1.519893e+01 
  6.080224e+03   1.515782e+01 
  6.222571e+03   1.490996e+01 
  6.368250e+03   1.472816e+01 
  6.517340e+03   1.427138e+01 
  6.669919e+03   1.406027e+01 
  6.826072e+03   1.422068e+01 
  6.985880e+03   1.369980e+01 
  7.149429e+03   1.356294e+01 
  7.316807e+03   1.341740e+01 
  7.488104e+03   1.340472e+01 
  7.663411e+03   1.322691e+01 
  7.842822e+03   1.253235e+01 
  8.026434e+03   1.250317e+01 
  8.214344e+03   1.224022e+01 
  8.406653e+03   1.215240e+01 
  8.603465e+03   1.192993e+01 
  8.804884e+03   1.182359e+01 
  9.011019e+03   1.166217e+01 
  9.221979e+03   1.176536e+01 
  9.437878e+03   1.124640e+01 
  9.658832e+03   1.138918e+01 
  9.884959e+03   1.098003e+01 
  1.011638e+04   1.075087e+01 
  1.035322e+04   1.040551e+01 
  1.059560e+04   9.944489e+00 
  1.084366e+04   1.019421e+01 
  1.109753e+04   1.005566e+01 
  1.135733e+04   9.617897e+00 
  1.162322e+04   9.293148e+00 
  1.189534e+04   9.515265e+00 
