Input File: 02TFS.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 1 kHz
Stop  Freq.: 100 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 100.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.000000e+03   6.219685e+01 
  1.047616e+03   6.182372e+01 
  1.097499e+03   6.141536e+01 
  1.149757e+03   6.106973e+01 
  1.204504e+03   6.061911e+01 
  1.261857e+03   6.021196e+01 
  1.321941e+03   5.982341e+01 
  1.384886e+03   5.944130e+01 
  1.450829e+03   5.900692e+01 
  1.519911e+03   5.861435e+01 
  1.592283e+03   5.821030e+01 
  1.668101e+03   5.782396e+01 
  1.747528e+03   5.740522e+01 
  1.830738e+03   5.699888e+01 
  1.917910e+03   5.657750e+01 
  2.009233e+03   5.616865e+01 
  2.104904e+03   5.575578e+01 
  2.205131e+03   5.534938e+01 
  2.310130e+03   5.491187e+01 
  2.420128e+03   5.448922e+01 
  2.535365e+03   5.407176e+01 
  2.656088e+03   5.364318e+01 
  2.782559e+03   5.321202e+01 
  2.915053e+03   5.279496e+01 
  3.053855e+03   5.235319e+01 
  3.199267e+03   5.192568e+01 
  3.351603e+03   5.151629e+01 
  3.511192e+03   5.111531e+01 
  3.678380e+03   5.071090e+01 
  3.853529e+03   5.032886e+01 
  4.037017e+03   4.993507e+01 
  4.229243e+03   4.953901e+01 
  4.430622e+03   4.915343e+01 
  4.641589e+03   4.878143e+01 
  4.862602e+03   4.838725e+01 
  5.094138e+03   4.799954e+01 
  5.336699e+03   4.762662e+01 
  5.590810e+03   4.722149e+01 
  5.857021e+03   4.682450e+01 
  6.135907e+03   4.647809e+01 
  6.428073e+03   4.609307e+01 
  6.734151e+03   4.569785e+01 
  7.054802e+03   4.529823e+01 
  7.390722e+03   4.491549e+01 
  7.742637e+03   4.452044e+01 
  8.111308e+03   4.410652e+01 
  8.497534e+03   4.373161e+01 
  8.902150e+03   4.331960e+01 
  9.326033e+03   4.292226e+01 
  9.770100e+03   4.252903e+01 
  1.023531e+04   4.210863e+01 
  1.072267e+04   4.171285e+01 
  1.123324e+04   4.131355e+01 
  1.176812e+04   4.091902e+01 
  1.232847e+04   4.049546e+01 
  1.291550e+04   4.015080e+01 
  1.353048e+04   3.976590e+01 
  1.417474e+04   3.940177e+01 
  1.484968e+04   3.905127e+01 
  1.555676e+04   3.872355e+01 
  1.629751e+04   3.843721e+01 
  1.707353e+04   3.812468e+01 
  1.788650e+04   3.785379e+01 
  1.873817e+04   3.754202e+01 
  1.963041e+04   3.726116e+01 
  2.056512e+04   3.693222e+01 
  2.154435e+04   3.662693e+01 
  2.257020e+04   3.629158e+01 
  2.364489e+04   3.596115e+01 
  2.477076e+04   3.562166e+01 
  2.595024e+04   3.528620e+01 
  2.718588e+04   3.492636e+01 
  2.848036e+04   3.457162e+01 
  2.983647e+04   3.420835e+01 
  3.125716e+04   3.383459e+01 
  3.274549e+04   3.348437e+01 
  3.430469e+04   3.312954e+01 
  3.593814e+04   3.275061e+01 
  3.764936e+04   3.238478e+01 
  3.944206e+04   3.200121e+01 
  4.132012e+04   3.165968e+01 
  4.328761e+04   3.127909e+01 
  4.534879e+04   3.092224e+01 
  4.750810e+04   3.054990e+01 
  4.977023e+04   3.019071e+01 
  5.214008e+04   2.981128e+01 
  5.462277e+04   2.943046e+01 
  5.722368e+04   2.907960e+01 
  5.994843e+04   2.871949e+01 
  6.280291e+04   2.834535e+01 
  6.579332e+04   2.796885e+01 
  6.892612e+04   2.759352e+01 
  7.220809e+04   2.717875e+01 
  7.564634e+04   2.677999e+01 
  7.924829e+04   2.635333e+01 
  8.302176e+04   2.590144e+01 
  8.697490e+04   2.540748e+01 
  9.111627e+04   2.487644e+01 
  9.545484e+04   2.427637e+01 
  1.000000e+05   2.361335e+01 
