Input File: 02TFSD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 1 kHz
Stop  Freq.: 100 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:   5.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   20
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]          P[deg]     
  1.000000e+03  -9.223515e+01 
  1.047616e+03  -9.349030e+01 
  1.097499e+03  -9.416397e+01 
  1.149757e+03  -9.392538e+01 
  1.204504e+03  -9.420263e+01 
  1.261857e+03  -9.491197e+01 
  1.321941e+03  -9.541586e+01 
  1.384886e+03  -9.528842e+01 
  1.450829e+03  -9.579328e+01 
  1.519911e+03  -9.589765e+01 
  1.592283e+03  -9.676748e+01 
  1.668101e+03  -9.691295e+01 
  1.747528e+03  -9.710424e+01 
  1.830738e+03  -9.734151e+01 
  1.917910e+03  -9.794028e+01 
  2.009233e+03  -9.852486e+01 
  2.104904e+03  -9.898052e+01 
  2.205131e+03  -9.929490e+01 
  2.310130e+03  -1.000324e+02 
  2.420128e+03  -9.999420e+01 
  2.535365e+03  -1.012824e+02 
  2.656088e+03  -1.015077e+02 
  2.782559e+03  -1.021638e+02 
  2.915053e+03  -1.027526e+02 
  3.053855e+03  -1.037933e+02 
  3.199267e+03  -1.044091e+02 
  3.351603e+03  -1.046857e+02 
  3.511192e+03  -1.060682e+02 
  3.678380e+03  -1.066286e+02 
  3.853529e+03  -1.068807e+02 
  4.037017e+03  -1.076916e+02 
  4.229243e+03  -1.082627e+02 
  4.430622e+03  -1.093909e+02 
  4.641589e+03  -1.101356e+02 
  4.862602e+03  -1.113910e+02 
  5.094138e+03  -1.120319e+02 
  5.336699e+03  -1.133062e+02 
  5.590810e+03  -1.140453e+02 
  5.857021e+03  -1.153901e+02 
  6.135907e+03  -1.172385e+02 
  6.428073e+03  -1.182284e+02 
  6.734151e+03  -1.191057e+02 
  7.054802e+03  -1.201821e+02 
  7.390722e+03  -1.215161e+02 
  7.742637e+03  -1.232789e+02 
  8.111308e+03  -1.243798e+02 
  8.497534e+03  -1.254258e+02 
  8.902150e+03  -1.275657e+02 
  9.326033e+03  -1.279314e+02 
  9.770100e+03  -1.297549e+02 
  1.023531e+04  -1.313146e+02 
  1.072267e+04  -1.324981e+02 
  1.123324e+04  -1.342733e+02 
  1.176812e+04  -1.365598e+02 
  1.232847e+04  -1.380865e+02 
  1.291550e+04  -1.393914e+02 
  1.353048e+04  -1.408596e+02 
  1.417474e+04  -1.423515e+02 
  1.484968e+04  -1.447871e+02 
  1.555676e+04  -1.470022e+02 
  1.629751e+04  -1.486082e+02 
  1.707353e+04  -1.495622e+02 
  1.788650e+04  -1.510152e+02 
  1.873817e+04  -1.527666e+02 
  1.963041e+04  -1.543739e+02 
  2.056512e+04  -1.569823e+02 
  2.154435e+04  -1.588653e+02 
  2.257020e+04  -1.609496e+02 
  2.364489e+04  -1.614574e+02 
  2.477076e+04  -1.628485e+02 
  2.595024e+04  -1.643060e+02 
  2.718588e+04  -1.664936e+02 
  2.848036e+04  -1.680543e+02 
  2.983647e+04  -1.707420e+02 
  3.125716e+04  -1.720135e+02 
  3.274549e+04  -1.729674e+02 
  3.430469e+04  -1.759940e+02 
  3.593814e+04  -1.761597e+02 
  3.764936e+04  -1.793841e+02 
  3.944206e+04   1.780314e+02 
  4.132012e+04   1.759183e+02 
  4.328761e+04   1.741570e+02 
  4.534879e+04   1.756334e+02 
  4.750810e+04   1.695509e+02 
  4.977023e+04   1.705103e+02 
  5.214008e+04   1.677546e+02 
  5.462277e+04   1.694377e+02 
  5.722368e+04   1.655816e+02 
  5.994843e+04   1.609632e+02 
  6.280291e+04   1.607793e+02 
  6.579332e+04   1.578222e+02 
  6.892612e+04   1.531646e+02 
  7.220809e+04   1.532349e+02 
  7.564634e+04   1.495118e+02 
  7.924829e+04   1.506826e+02 
  8.302176e+04   1.411346e+02 
  8.697490e+04   1.382328e+02 
  9.111627e+04   1.391809e+02 
  9.545484e+04   1.345866e+02 
  1.000000e+05   1.306399e+02 
