Input File: 20M2MM.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 500.0 mV
Source Ramping: Off
Source Offset:  12.1 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]         Mag[dB]     
  1.000000e+03  -2.230448e+01 
  1.023411e+03  -2.269358e+01 
  1.047371e+03  -2.268297e+01 
  1.071891e+03  -2.262664e+01 
  1.096986e+03  -2.299631e+01 
  1.122668e+03  -2.252749e+01 
  1.148951e+03  -2.221945e+01 
  1.175850e+03  -2.174834e+01 
  1.203378e+03  -2.391466e+01 
  1.231551e+03  -2.348894e+01 
  1.260383e+03  -2.363219e+01 
  1.289890e+03  -2.152218e+01 
  1.320088e+03  -1.777214e+01 
  1.350994e+03  -2.690098e+01 
  1.382622e+03  -2.300549e+01 
  1.414991e+03  -2.296938e+01 
  1.448118e+03  -2.269832e+01 
  1.482021e+03  -2.241546e+01 
  1.516717e+03  -2.288941e+01 
  1.552225e+03  -2.245606e+01 
  1.588565e+03  -2.302548e+01 
  1.625756e+03  -2.287368e+01 
  1.663817e+03  -2.209873e+01 
  1.702769e+03  -2.185750e+01 
  1.742633e+03  -2.244979e+01 
  1.783431e+03  -2.235525e+01 
  1.825183e+03  -2.256022e+01 
  1.867914e+03  -2.292036e+01 
  1.911644e+03  -2.222606e+01 
  1.956398e+03  -2.223132e+01 
  2.002200e+03  -2.279769e+01 
  2.049075e+03  -2.239832e+01 
  2.097046e+03  -2.258315e+01 
  2.146141e+03  -2.256989e+01 
  2.196385e+03  -2.290823e+01 
  2.247806e+03  -2.239459e+01 
  2.300430e+03  -2.252468e+01 
  2.354286e+03  -2.292134e+01 
  2.409404e+03  -2.239731e+01 
  2.465811e+03  -2.287332e+01 
  2.523539e+03  -2.253067e+01 
  2.582619e+03  -2.282697e+01 
  2.643082e+03  -2.278931e+01 
  2.704960e+03  -2.269719e+01 
  2.768287e+03  -2.276935e+01 
  2.833096e+03  -2.273262e+01 
  2.899423e+03  -2.298812e+01 
  2.967302e+03  -2.281928e+01 
  3.036771e+03  -2.264247e+01 
  3.107866e+03  -2.262752e+01 
  3.180626e+03  -2.278442e+01 
  3.255089e+03  -2.278789e+01 
  3.331295e+03  -2.283555e+01 
  3.409285e+03  -2.265595e+01 
  3.489101e+03  -2.275125e+01 
  3.570786e+03  -2.279285e+01 
  3.654383e+03  -2.269780e+01 
  3.739937e+03  -2.301072e+01 
  3.827494e+03  -2.281010e+01 
  3.917102e+03  -2.282136e+01 
  4.008806e+03  -2.287160e+01 
  4.102658e+03  -2.303420e+01 
  4.198707e+03  -2.285925e+01 
  4.297005e+03  -2.305085e+01 
  4.397604e+03  -2.307409e+01 
  4.500558e+03  -2.295641e+01 
  4.605922e+03  -2.286986e+01 
  4.713753e+03  -2.310026e+01 
  4.824109e+03  -2.313649e+01 
  4.937048e+03  -2.298029e+01 
  5.052631e+03  -2.326280e+01 
  5.170920e+03  -2.301571e+01 
  5.291979e+03  -2.330360e+01 
  5.415872e+03  -2.325951e+01 
  5.542665e+03  -2.309927e+01 
  5.672426e+03  -2.312938e+01 
  5.805226e+03  -2.316084e+01 
  5.941134e+03  -2.316150e+01 
  6.080224e+03  -2.330093e+01 
  6.222571e+03  -2.326376e+01 
  6.368250e+03  -2.331868e+01 
  6.517340e+03  -2.324471e+01 
  6.669919e+03  -2.310598e+01 
  6.826072e+03  -2.326143e+01 
  6.985880e+03  -2.318062e+01 
  7.149429e+03  -2.325640e+01 
  7.316807e+03  -2.325736e+01 
  7.488104e+03  -2.333216e+01 
  7.663411e+03  -2.341789e+01 
  7.842822e+03  -2.344024e+01 
  8.026434e+03  -2.334561e+01 
  8.214344e+03  -2.342658e+01 
  8.406653e+03  -2.327943e+01 
  8.603465e+03  -2.335785e+01 
  8.804884e+03  -2.336376e+01 
  9.011019e+03  -2.336258e+01 
  9.221979e+03  -2.345785e+01 
  9.437878e+03  -2.326235e+01 
  9.658832e+03  -2.341626e+01 
  9.884959e+03  -2.321401e+01 
  1.011638e+04  -2.332258e+01 
  1.035322e+04  -2.342883e+01 
