Input File: 20TFD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude: 200.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]          P[deg]     
  1.000000e+03  -9.499400e+01 
  1.023411e+03  -9.544473e+01 
  1.047371e+03  -9.006121e+01 
  1.071891e+03  -1.019140e+02 
  1.096986e+03  -9.175078e+01 
  1.122668e+03  -1.043201e+02 
  1.148951e+03  -9.683673e+01 
  1.175850e+03  -1.001075e+02 
  1.203378e+03  -9.972708e+01 
  1.231551e+03  -9.800729e+01 
  1.260383e+03  -9.845749e+01 
  1.289890e+03  -9.551073e+01 
  1.320088e+03  -1.037290e+02 
  1.350994e+03  -1.033206e+02 
  1.382622e+03  -9.508588e+01 
  1.414991e+03  -9.605885e+01 
  1.448118e+03  -1.044370e+02 
  1.482021e+03  -9.955168e+01 
  1.516717e+03  -9.993311e+01 
  1.552225e+03  -9.987007e+01 
  1.588565e+03  -1.056262e+02 
  1.625756e+03  -1.054049e+02 
  1.663817e+03  -9.597105e+01 
  1.702769e+03  -1.002462e+02 
  1.742633e+03  -1.021106e+02 
  1.783431e+03  -1.088445e+02 
  1.825183e+03  -1.038777e+02 
  1.867914e+03  -1.036158e+02 
  1.911644e+03  -1.051236e+02 
  1.956398e+03  -1.038347e+02 
  2.002200e+03  -1.027408e+02 
  2.049075e+03  -1.119463e+02 
  2.097046e+03  -1.069439e+02 
  2.146141e+03  -1.059159e+02 
  2.196385e+03  -1.058184e+02 
  2.247806e+03  -1.092710e+02 
  2.300430e+03  -1.122754e+02 
  2.354286e+03  -1.070033e+02 
  2.409404e+03  -1.089705e+02 
  2.465811e+03  -1.107287e+02 
  2.523539e+03  -1.098804e+02 
  2.582619e+03  -1.104416e+02 
  2.643082e+03  -1.139160e+02 
  2.704960e+03  -1.147701e+02 
  2.768287e+03  -1.115633e+02 
  2.833096e+03  -1.120113e+02 
  2.899423e+03  -1.116723e+02 
  2.967302e+03  -1.137093e+02 
  3.036771e+03  -1.123239e+02 
  3.107866e+03  -1.129575e+02 
  3.180626e+03  -1.148043e+02 
  3.255089e+03  -1.138681e+02 
  3.331295e+03  -1.157015e+02 
  3.409285e+03  -1.127553e+02 
  3.489101e+03  -1.158450e+02 
  3.570786e+03  -1.163615e+02 
  3.654383e+03  -1.164758e+02 
  3.739937e+03  -1.130893e+02 
  3.827494e+03  -1.202267e+02 
  3.917102e+03  -1.202983e+02 
  4.008806e+03  -1.206697e+02 
  4.102658e+03  -1.183140e+02 
  4.198707e+03  -1.204270e+02 
  4.297005e+03  -1.212886e+02 
  4.397604e+03  -1.210637e+02 
  4.500558e+03  -1.222887e+02 
  4.605922e+03  -1.214522e+02 
  4.713753e+03  -1.215366e+02 
  4.824109e+03  -1.225461e+02 
  4.937048e+03  -1.221992e+02 
  5.052631e+03  -1.246115e+02 
  5.170920e+03  -1.240157e+02 
  5.291979e+03  -1.254829e+02 
  5.415872e+03  -1.248267e+02 
  5.542665e+03  -1.258638e+02 
  5.672426e+03  -1.258781e+02 
  5.805226e+03  -1.258029e+02 
  5.941134e+03  -1.258326e+02 
  6.080224e+03  -1.289647e+02 
  6.222571e+03  -1.278391e+02 
  6.368250e+03  -1.280784e+02 
  6.517340e+03  -1.298516e+02 
  6.669919e+03  -1.316263e+02 
  6.826072e+03  -1.316043e+02 
  6.985880e+03  -1.317637e+02 
  7.149429e+03  -1.321907e+02 
  7.316807e+03  -1.320039e+02 
  7.488104e+03  -1.344987e+02 
  7.663411e+03  -1.354545e+02 
  7.842822e+03  -1.359087e+02 
  8.026434e+03  -1.369911e+02 
  8.214344e+03  -1.384425e+02 
  8.406653e+03  -1.394860e+02 
  8.603465e+03  -1.389522e+02 
  8.804884e+03  -1.409442e+02 
  9.011019e+03  -1.422424e+02 
  9.221979e+03  -1.415607e+02 
  9.437878e+03  -1.429467e+02 
  9.658832e+03  -1.424096e+02 
  9.884959e+03  -1.447113e+02 
  1.011638e+04  -1.474882e+02 
  1.035322e+04  -1.486643e+02 
