Input File: 20TFDH.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]          P[deg]     
  1.000000e+03   9.007238e+01 
  1.023411e+03   9.401807e+01 
  1.047371e+03   9.011341e+01 
  1.071891e+03   9.658369e+01 
  1.096986e+03   9.152516e+01 
  1.122668e+03   9.769594e+01 
  1.148951e+03   8.696189e+01 
  1.175850e+03   9.203351e+01 
  1.203378e+03   9.240987e+01 
  1.231551e+03   9.375844e+01 
  1.260383e+03   9.023956e+01 
  1.289890e+03   9.596793e+01 
  1.320088e+03   8.505248e+01 
  1.350994e+03   8.851548e+01 
  1.382622e+03   8.952974e+01 
  1.414991e+03   9.507681e+01 
  1.448118e+03   8.769924e+01 
  1.482021e+03   9.114301e+01 
  1.516717e+03   9.033767e+01 
  1.552225e+03   9.136296e+01 
  1.588565e+03   9.057638e+01 
  1.625756e+03   9.227057e+01 
  1.663817e+03   9.393459e+01 
  1.702769e+03   9.224128e+01 
  1.742633e+03   8.804434e+01 
  1.783431e+03   8.887391e+01 
  1.825183e+03   8.964831e+01 
  1.867914e+03   9.121046e+01 
  1.911644e+03   8.571767e+01 
  1.956398e+03   9.026649e+01 
  2.002200e+03   8.894559e+01 
  2.049075e+03   9.207741e+01 
  2.097046e+03   9.254244e+01 
  2.146141e+03   8.671465e+01 
  2.196385e+03   8.741748e+01 
  2.247806e+03   8.633015e+01 
  2.300430e+03   8.949854e+01 
  2.354286e+03   8.608770e+01 
  2.409404e+03   8.953724e+01 
  2.465811e+03   8.919619e+01 
  2.523539e+03   8.835124e+01 
  2.582619e+03   8.616168e+01 
  2.643082e+03   9.016013e+01 
  2.704960e+03   8.686371e+01 
  2.768287e+03   8.555649e+01 
  2.833096e+03   8.754261e+01 
  2.899423e+03   8.762237e+01 
  2.967302e+03   8.854887e+01 
  3.036771e+03   9.193801e+01 
  3.107866e+03   8.767580e+01 
  3.180626e+03   8.778866e+01 
  3.255089e+03   8.907906e+01 
  3.331295e+03   8.584740e+01 
  3.409285e+03   8.741959e+01 
  3.489101e+03   8.647987e+01 
  3.570786e+03   9.012553e+01 
  3.654383e+03   8.248649e+01 
  3.739937e+03   8.718256e+01 
  3.827494e+03   8.599802e+01 
  3.917102e+03   8.768658e+01 
  4.008806e+03   8.419442e+01 
  4.102658e+03   8.719831e+01 
  4.198707e+03   9.052661e+01 
  4.297005e+03   8.241786e+01 
  4.397604e+03   8.456900e+01 
  4.500558e+03   8.528515e+01 
  4.605922e+03   8.879513e+01 
  4.713753e+03   8.464899e+01 
  4.824109e+03   8.627567e+01 
  4.937048e+03   8.611950e+01 
  5.052631e+03   8.271249e+01 
  5.170920e+03   8.634776e+01 
  5.291979e+03   8.305708e+01 
  5.415872e+03   8.252257e+01 
  5.542665e+03   8.522862e+01 
  5.672426e+03   8.570609e+01 
  5.805226e+03   8.044895e+01 
  5.941134e+03   8.434523e+01 
  6.080224e+03   8.165884e+01 
  6.222571e+03   8.264183e+01 
  6.368250e+03   8.443336e+01 
  6.517340e+03   8.646027e+01 
  6.669919e+03   8.024344e+01 
  6.826072e+03   8.346848e+01 
  6.985880e+03   8.028269e+01 
  7.149429e+03   7.819666e+01 
  7.316807e+03   8.275546e+01 
  7.488104e+03   8.008739e+01 
  7.663411e+03   7.947089e+01 
  7.842822e+03   7.963123e+01 
  8.026434e+03   7.940421e+01 
  8.214344e+03   7.732253e+01 
  8.406653e+03   7.824437e+01 
  8.603465e+03   7.723637e+01 
  8.804884e+03   7.637632e+01 
  9.011019e+03   7.973251e+01 
  9.221979e+03   7.911980e+01 
  9.437878e+03   7.994559e+01 
  9.658832e+03   7.573001e+01 
  9.884959e+03   7.921864e+01 
  1.011638e+04   7.817366e+01 
  1.035322e+04   7.401572e+01 
  1.059560e+04   7.373607e+01 
  1.084366e+04   7.872426e+01 
  1.109753e+04   7.586031e+01 
  1.135733e+04   7.663145e+01 
  1.162322e+04   7.542358e+01 
  1.189534e+04   7.481086e+01 
