Input File: 20TFSD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 100 kHz
Stop  Freq.: 100 Hz
Sweep Type: Log
Auto Level: Off
Amplitude: 200.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]          P[deg]     
  1.000000e+02  -7.208340e+01 
  1.072267e+02  -7.316463e+01 
  1.149757e+02  -7.420181e+01 
  1.232847e+02  -7.515305e+01 
  1.321941e+02  -7.607254e+01 
  1.417474e+02  -7.691700e+01 
  1.519911e+02  -7.771169e+01 
  1.629751e+02  -7.848325e+01 
  1.747528e+02  -7.917705e+01 
  1.873817e+02  -7.981271e+01 
  2.009233e+02  -8.046014e+01 
  2.154435e+02  -8.106195e+01 
  2.310130e+02  -8.162238e+01 
  2.477076e+02  -8.220686e+01 
  2.656088e+02  -8.266276e+01 
  2.848036e+02  -8.308274e+01 
  3.053856e+02  -8.354225e+01 
  3.274549e+02  -8.389869e+01 
  3.511192e+02  -8.425574e+01 
  3.764936e+02  -8.460445e+01 
  4.037017e+02  -8.487878e+01 
  4.328761e+02  -8.516877e+01 
  4.641589e+02  -8.540975e+01 
  4.977024e+02  -8.565359e+01 
  5.336699e+02  -8.583268e+01 
  5.722368e+02  -8.603413e+01 
  6.135907e+02  -8.623607e+01 
  6.579332e+02  -8.647968e+01 
  7.054802e+02  -8.666383e+01 
  7.564633e+02  -8.688855e+01 
  8.111309e+02  -8.700784e+01 
  8.697490e+02  -8.714417e+01 
  9.326033e+02  -8.732017e+01 
  1.000000e+03  -8.743745e+01 
  1.072267e+03  -8.750135e+01 
  1.149757e+03  -8.757200e+01 
  1.232847e+03  -8.759835e+01 
  1.321941e+03  -8.761246e+01 
  1.417474e+03  -8.780516e+01 
  1.519911e+03  -8.755119e+01 
  1.629751e+03  -8.751096e+01 
  1.747528e+03  -8.744642e+01 
  1.873817e+03  -8.733833e+01 
  2.009233e+03  -8.942163e+01 
  2.154435e+03  -8.923280e+01 
  2.310130e+03  -8.901067e+01 
  2.477076e+03  -8.877715e+01 
  2.656088e+03  -8.851804e+01 
  2.848036e+03  -8.818924e+01 
  3.053855e+03  -8.777072e+01 
  3.274549e+03  -8.745323e+01 
  3.511192e+03  -8.709198e+01 
  3.764936e+03  -8.667860e+01 
  4.037017e+03  -8.636167e+01 
  4.328761e+03  -8.592075e+01 
  4.641589e+03  -8.548631e+01 
  4.977023e+03  -8.505164e+01 
  5.336699e+03  -8.463882e+01 
  5.722368e+03  -8.429414e+01 
  6.135907e+03  -8.395715e+01 
  6.579332e+03  -8.364635e+01 
  7.054802e+03  -8.339484e+01 
  7.564633e+03  -8.326495e+01 
  8.111308e+03  -8.320516e+01 
  8.697490e+03  -8.323158e+01 
  9.326033e+03  -8.343599e+01 
  1.000000e+04  -8.372902e+01 
  1.072267e+04  -8.423340e+01 
  1.149757e+04  -8.482858e+01 
  1.232847e+04  -8.551471e+01 
  1.321941e+04  -8.638145e+01 
  1.417474e+04  -8.743560e+01 
  1.519911e+04  -8.878017e+01 
  1.629751e+04  -8.970610e+01 
  1.747528e+04  -9.144917e+01 
  1.873817e+04  -9.330721e+01 
  2.009233e+04  -9.526653e+01 
  2.154435e+04  -9.772121e+01 
  2.310130e+04  -1.001887e+02 
  2.477076e+04  -1.029160e+02 
  2.656088e+04  -1.059167e+02 
  2.848036e+04  -1.091690e+02 
  3.053855e+04  -1.125781e+02 
  3.274549e+04  -1.162643e+02 
  3.511192e+04  -1.202403e+02 
  3.764936e+04  -1.243650e+02 
  4.037017e+04  -1.286095e+02 
  4.328761e+04  -1.333795e+02 
  4.641589e+04  -1.382722e+02 
  4.977023e+04  -1.436232e+02 
  5.336699e+04  -1.492587e+02 
  5.722368e+04  -1.552922e+02 
  6.135907e+04  -1.616508e+02 
  6.579332e+04  -1.685081e+02 
  7.054802e+04  -1.754724e+02 
  7.564634e+04   1.763943e+02 
  8.111309e+04   1.680094e+02 
  8.697490e+04   1.591324e+02 
  9.326034e+04   1.499448e+02 
  1.000000e+05   1.407988e+02 
