Input File: 20TFSM.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]         Mag[dB]     
  1.000000e+03   3.828996e+01 
  1.023411e+03   3.808575e+01 
  1.047371e+03   3.787860e+01 
  1.071891e+03   3.766470e+01 
  1.096986e+03   3.746141e+01 
  1.122668e+03   3.725451e+01 
  1.148951e+03   3.704761e+01 
  1.175850e+03   3.682995e+01 
  1.203378e+03   3.662158e+01 
  1.231551e+03   3.639887e+01 
  1.260383e+03   3.619194e+01 
  1.289890e+03   3.598058e+01 
  1.320088e+03   3.577209e+01 
  1.350994e+03   3.555461e+01 
  1.382622e+03   3.533503e+01 
  1.414991e+03   3.512387e+01 
  1.448118e+03   3.489956e+01 
  1.482021e+03   3.469303e+01 
  1.516717e+03   3.448389e+01 
  1.552225e+03   3.425997e+01 
  1.588565e+03   3.405103e+01 
  1.625756e+03   3.381974e+01 
  1.663817e+03   3.360479e+01 
  1.702769e+03   3.338676e+01 
  1.742633e+03   3.316277e+01 
  1.783431e+03   3.295604e+01 
  1.825183e+03   3.272480e+01 
  1.867914e+03   3.250454e+01 
  1.911644e+03   3.227694e+01 
  1.956398e+03   3.205561e+01 
  2.002200e+03   3.183923e+01 
  2.049075e+03   3.161941e+01 
  2.097046e+03   3.140491e+01 
  2.146141e+03   3.116561e+01 
  2.196385e+03   3.094968e+01 
  2.247806e+03   3.072104e+01 
  2.300430e+03   3.050680e+01 
  2.354286e+03   3.028074e+01 
  2.409404e+03   3.005159e+01 
  2.465811e+03   2.982568e+01 
  2.523539e+03   2.958775e+01 
  2.582619e+03   2.936424e+01 
  2.643082e+03   2.914193e+01 
  2.704960e+03   2.890543e+01 
  2.768287e+03   2.867316e+01 
  2.833096e+03   2.845399e+01 
  2.899423e+03   2.822951e+01 
  2.967302e+03   2.799657e+01 
  3.036771e+03   2.777755e+01 
  3.107866e+03   2.753939e+01 
  3.180626e+03   2.731447e+01 
  3.255089e+03   2.707598e+01 
  3.331295e+03   2.685354e+01 
  3.409285e+03   2.661731e+01 
  3.489101e+03   2.639976e+01 
  3.570786e+03   2.617138e+01 
  3.654383e+03   2.591992e+01 
  3.739937e+03   2.569771e+01 
  3.827494e+03   2.547428e+01 
  3.917102e+03   2.523935e+01 
  4.008806e+03   2.499953e+01 
  4.102658e+03   2.477063e+01 
  4.198707e+03   2.453497e+01 
  4.297005e+03   2.430693e+01 
  4.397604e+03   2.408446e+01 
  4.500558e+03   2.384370e+01 
  4.605922e+03   2.360817e+01 
  4.713753e+03   2.337810e+01 
  4.824109e+03   2.315187e+01 
  4.937048e+03   2.291006e+01 
  5.052631e+03   2.268929e+01 
  5.170920e+03   2.244653e+01 
  5.291979e+03   2.221550e+01 
  5.415872e+03   2.196857e+01 
  5.542665e+03   2.174730e+01 
  5.672426e+03   2.151719e+01 
  5.805226e+03   2.127702e+01 
  5.941134e+03   2.103317e+01 
  6.080224e+03   2.080684e+01 
  6.222571e+03   2.056420e+01 
  6.368250e+03   2.032776e+01 
  6.517340e+03   2.007383e+01 
  6.669919e+03   1.984558e+01 
  6.826072e+03   1.959211e+01 
  6.985880e+03   1.936852e+01 
  7.149429e+03   1.911770e+01 
  7.316807e+03   1.887910e+01 
  7.488104e+03   1.862008e+01 
  7.663411e+03   1.838053e+01 
  7.842822e+03   1.814836e+01 
  8.026434e+03   1.790406e+01 
  8.214344e+03   1.764044e+01 
  8.406653e+03   1.739249e+01 
  8.603465e+03   1.715723e+01 
  8.804884e+03   1.690181e+01 
  9.011019e+03   1.665159e+01 
  9.221979e+03   1.637962e+01 
  9.437878e+03   1.614803e+01 
  9.658832e+03   1.588156e+01 
  9.884959e+03   1.560623e+01 
  1.011638e+04   1.536824e+01 
  1.035322e+04   1.508765e+01 
  1.059560e+04   1.482079e+01 
  1.084366e+04   1.456201e+01 
  1.109753e+04   1.428551e+01 
  1.135733e+04   1.402845e+01 
  1.162322e+04   1.376272e+01 
  1.189534e+04   1.349733e+01 
